reg_dt,spce_id,tag_value
2021-06-01 14:18:03,TG_0001096,25.24
2021-06-01 14:18:03,TG_0001097,25.24
2021-06-01 14:20:45,TG_0001094,24.51
2021-06-01 14:20:45,TG_0001095,24.51
2021-06-01 14:22:06,TG_0001099,25.34
2021-06-01 14:22:32,TG_0001100,25.55
2021-06-01 14:22:32,TG_0001101,25.55
2021-06-01 14:33:03,TG_0001096,25.37
2021-06-01 14:33:03,TG_0001097,25.37
2021-06-01 14:35:45,TG_0001094,24.59
2021-06-01 14:35:45,TG_0001095,24.59
2021-06-01 14:37:09,TG_0001099,25.32
2021-06-01 14:37:31,TG_0001100,25.56
2021-06-01 14:37:31,TG_0001101,25.56
2021-06-01 14:48:04,TG_0001096,25.5
2021-06-01 14:48:04,TG_0001097,25.5
2021-06-01 14:50:44,TG_0001094,24.64
2021-06-01 14:50:44,TG_0001095,24.64
2021-06-01 14:52:31,TG_0001100,25.58
2021-06-01 14:52:31,TG_0001101,25.58
2021-06-01 15:03:03,TG_0001096,25.61
2021-06-01 15:03:03,TG_0001097,25.61
2021-06-01 15:05:45,TG_0001094,24.71
2021-06-01 15:05:45,TG_0001095,24.71
2021-06-01 15:07:06,TG_0001099,25.31
2021-06-01 15:07:32,TG_0001100,25.59
2021-06-01 15:07:32,TG_0001101,25.59
2021-06-01 15:18:04,TG_0001096,25.71
2021-06-01 15:18:04,TG_0001097,25.71
2021-06-01 15:20:45,TG_0001094,24.78
2021-06-01 15:20:45,TG_0001095,24.78
2021-06-01 15:22:08,TG_0001099,25.3
2021-06-01 15:22:40,TG_0001100,25.58
2021-06-01 15:22:40,TG_0001101,25.58
2021-06-01 15:33:03,TG_0001096,25.81
2021-06-01 15:33:03,TG_0001097,25.81
2021-06-01 15:35:46,TG_0001094,24.83
2021-06-01 15:35:46,TG_0001095,24.83
2021-06-01 15:37:08,TG_0001099,25.28
2021-06-01 15:37:40,TG_0001100,25.57
2021-06-01 15:37:40,TG_0001101,25.57
2021-06-01 15:39:00,TG_0001100,25.83
2021-06-01 15:39:00,TG_0001101,25.83
2021-06-01 15:48:04,TG_0001096,26.01
2021-06-01 15:48:04,TG_0001097,26.01
2021-06-01 15:50:46,TG_0001094,24.9
2021-06-01 15:50:46,TG_0001095,24.9
2021-06-01 15:52:11,TG_0001099,25.29
2021-06-01 15:54:03,TG_0001100,25.89
2021-06-01 15:54:03,TG_0001101,25.89
2021-06-01 16:03:05,TG_0001096,25.98
2021-06-01 16:03:05,TG_0001097,25.98
2021-06-01 16:05:46,TG_0001094,24.97
2021-06-01 16:05:46,TG_0001095,24.97
2021-06-01 16:07:08,TG_0001099,25.31
2021-06-01 16:09:02,TG_0001100,25.62
2021-06-01 16:09:02,TG_0001101,25.62
2021-06-01 16:18:05,TG_0001096,25.94
2021-06-01 16:18:05,TG_0001097,25.94
2021-06-01 16:20:46,TG_0001094,25.01
2021-06-01 16:20:46,TG_0001095,25.01
2021-06-01 16:22:08,TG_0001099,25.34
2021-06-01 16:33:05,TG_0001096,25.88
2021-06-01 16:33:05,TG_0001097,25.88
2021-06-01 16:35:46,TG_0001094,25.06
2021-06-01 16:35:46,TG_0001095,25.06
2021-06-01 16:37:09,TG_0001099,25.36
2021-06-01 16:39:04,TG_0001100,25.63
2021-06-01 16:39:04,TG_0001101,25.63
2021-06-01 16:48:06,TG_0001096,25.82
2021-06-01 16:48:06,TG_0001097,25.82
2021-06-01 16:50:46,TG_0001094,25.15
2021-06-01 16:50:46,TG_0001095,25.15
2021-06-01 16:52:10,TG_0001099,25.37
2021-06-01 16:54:03,TG_0001100,25.62
2021-06-01 16:54:03,TG_0001101,25.62
2021-06-02 08:03:15,TG_0001096,24.85
2021-06-02 08:03:15,TG_0001097,24.85
2021-06-02 08:05:45,TG_0001094,24.79
2021-06-02 08:05:45,TG_0001095,24.79
2021-06-02 08:07:27,TG_0001099,24.96
2021-06-02 08:09:22,TG_0001100,26.2
2021-06-02 08:09:22,TG_0001101,26.2
2021-06-02 08:18:15,TG_0001096,24.74
2021-06-02 08:18:15,TG_0001097,24.74
2021-06-02 08:20:45,TG_0001094,24.59
2021-06-02 08:20:45,TG_0001095,24.59
2021-06-02 08:22:29,TG_0001099,24.87
2021-06-02 08:24:23,TG_0001100,26.12
2021-06-02 08:24:23,TG_0001101,26.12
2021-06-02 08:33:15,TG_0001096,24.67
2021-06-02 08:33:15,TG_0001097,24.67
2021-06-02 08:35:45,TG_0001094,24.42
2021-06-02 08:35:45,TG_0001095,24.42
2021-06-02 08:39:22,TG_0001100,26.05
2021-06-02 08:39:22,TG_0001101,26.05
2021-06-02 08:48:15,TG_0001096,24.62
2021-06-02 08:48:15,TG_0001097,24.62
2021-06-02 08:50:45,TG_0001094,24.35
2021-06-02 08:50:45,TG_0001095,24.35
2021-06-02 08:52:28,TG_0001099,24.88
2021-06-02 08:54:23,TG_0001100,26.02
2021-06-02 08:54:23,TG_0001101,26.02
2021-06-02 09:03:16,TG_0001096,24.59
2021-06-02 09:03:16,TG_0001097,24.59
2021-06-02 09:05:45,TG_0001094,24.32
2021-06-02 09:05:45,TG_0001095,24.32
2021-06-02 09:07:32,TG_0001099,24.94
2021-06-02 09:09:23,TG_0001100,25.98
2021-06-02 09:09:23,TG_0001101,25.98
2021-06-02 09:18:17,TG_0001096,24.6
2021-06-02 09:18:17,TG_0001097,24.6
2021-06-02 09:20:45,TG_0001094,24.3
2021-06-02 09:20:45,TG_0001095,24.3
2021-06-02 09:22:28,TG_0001099,25.01
2021-06-02 09:24:24,TG_0001100,25.96
2021-06-02 09:24:24,TG_0001101,25.96
2021-06-02 09:33:17,TG_0001096,24.62
2021-06-02 09:33:17,TG_0001097,24.62
2021-06-02 09:35:45,TG_0001094,24.29
2021-06-02 09:35:45,TG_0001095,24.29
2021-06-02 09:37:34,TG_0001099,25.09
2021-06-02 09:39:25,TG_0001100,25.94
2021-06-02 09:39:25,TG_0001101,25.94
2021-06-02 09:48:18,TG_0001096,24.65
2021-06-02 09:48:18,TG_0001097,24.65
2021-06-02 09:52:29,TG_0001099,25.2
2021-06-02 09:54:25,TG_0001100,25.92
2021-06-02 09:54:25,TG_0001101,25.92
2021-06-02 10:03:18,TG_0001096,24.68
2021-06-02 10:03:18,TG_0001097,24.68
2021-06-02 10:05:44,TG_0001094,24.3
2021-06-02 10:05:44,TG_0001095,24.3
2021-06-02 10:07:34,TG_0001099,25.28
2021-06-02 10:18:19,TG_0001096,24.7
2021-06-02 10:18:19,TG_0001097,24.7
2021-06-02 10:22:30,TG_0001099,25.39
2021-06-02 10:24:24,TG_0001100,25.93
2021-06-02 10:24:24,TG_0001101,25.93
2021-06-02 10:33:19,TG_0001096,24.72
2021-06-02 10:33:19,TG_0001097,24.72
2021-06-02 10:35:44,TG_0001094,24.28
2021-06-02 10:35:44,TG_0001095,24.28
2021-06-02 10:37:31,TG_0001099,25.53
2021-06-02 10:48:19,TG_0001096,24.76
2021-06-02 10:48:19,TG_0001097,24.76
2021-06-02 10:50:45,TG_0001094,24.29
2021-06-02 10:50:45,TG_0001095,24.29
2021-06-02 10:52:31,TG_0001099,25.64
2021-06-02 11:03:19,TG_0001096,24.8
2021-06-02 11:03:19,TG_0001097,24.8
2021-06-02 11:05:45,TG_0001094,24.3
2021-06-02 11:05:45,TG_0001095,24.3
2021-06-02 11:07:35,TG_0001099,25.75
2021-06-02 11:09:26,TG_0001100,25.92
2021-06-02 11:09:26,TG_0001101,25.92
2021-06-02 11:20:45,TG_0001094,24.31
2021-06-02 11:20:45,TG_0001095,24.31
2021-06-02 11:22:33,TG_0001099,25.86
2021-06-02 11:24:26,TG_0001100,25.91
2021-06-02 11:24:26,TG_0001101,25.91
2021-06-02 11:37:40,TG_0001099,25.94
2021-06-02 11:39:27,TG_0001100,25.89
2021-06-02 11:39:27,TG_0001101,25.89
2021-06-02 11:48:20,TG_0001096,24.77
2021-06-02 11:48:20,TG_0001097,24.77
2021-06-02 11:50:46,TG_0001094,24.22
2021-06-02 11:50:46,TG_0001095,24.22
2021-06-02 11:52:33,TG_0001099,26.04
2021-06-02 11:54:28,TG_0001100,25.84
2021-06-02 11:54:28,TG_0001101,25.84
2021-06-02 12:03:21,TG_0001096,24.74
2021-06-02 12:03:21,TG_0001097,24.74
2021-06-02 12:05:45,TG_0001094,24.18
2021-06-02 12:05:45,TG_0001095,24.18
2021-06-02 12:07:34,TG_0001099,26.08
2021-06-02 12:09:26,TG_0001100,25.79
2021-06-02 12:09:26,TG_0001101,25.79
2021-06-02 12:18:20,TG_0001096,24.69
2021-06-02 12:18:20,TG_0001097,24.69
2021-06-02 12:20:47,TG_0001094,24.14
2021-06-02 12:20:47,TG_0001095,24.14
2021-06-02 12:24:27,TG_0001100,25.74
2021-06-02 12:24:27,TG_0001101,25.74
2021-06-02 12:33:21,TG_0001096,24.66
2021-06-02 12:33:21,TG_0001097,24.66
2021-06-02 12:35:46,TG_0001094,24.13
2021-06-02 12:35:46,TG_0001095,24.13
2021-06-02 12:37:38,TG_0001099,25.99
2021-06-02 12:39:28,TG_0001100,25.67
2021-06-02 12:39:28,TG_0001101,25.67
2021-06-02 12:48:20,TG_0001096,24.63
2021-06-02 12:48:20,TG_0001097,24.63
2021-06-02 12:52:38,TG_0001099,25.95
2021-06-02 12:54:28,TG_0001100,25.63
2021-06-02 12:54:28,TG_0001101,25.63
2021-06-02 13:05:47,TG_0001094,24.16
2021-06-02 13:05:47,TG_0001095,24.16
2021-06-02 13:07:34,TG_0001099,25.92
2021-06-02 13:09:28,TG_0001100,25.61
2021-06-02 13:09:28,TG_0001101,25.61
2021-06-02 13:18:21,TG_0001096,24.64
2021-06-02 13:18:21,TG_0001097,24.64
2021-06-02 13:20:47,TG_0001094,24.17
2021-06-02 13:20:47,TG_0001095,24.17
2021-06-02 13:22:36,TG_0001099,25.88
2021-06-02 13:24:28,TG_0001100,25.58
2021-06-02 13:24:28,TG_0001101,25.58
2021-06-02 13:33:21,TG_0001096,24.65
2021-06-02 13:33:21,TG_0001097,24.65
2021-06-02 13:35:47,TG_0001094,24.15
2021-06-02 13:35:47,TG_0001095,24.15
2021-06-02 13:37:35,TG_0001099,25.86
2021-06-02 13:39:35,TG_0001100,25.61
2021-06-02 13:39:35,TG_0001101,25.61
2021-06-02 13:48:22,TG_0001096,24.62
2021-06-02 13:48:22,TG_0001097,24.62
2021-06-02 13:50:47,TG_0001094,24.1
2021-06-02 13:50:47,TG_0001095,24.1
2021-06-02 13:52:36,TG_0001099,25.83
2021-06-02 13:54:29,TG_0001100,25.64
2021-06-02 13:54:29,TG_0001101,25.64
2021-06-02 14:05:47,TG_0001094,24.07
2021-06-02 14:05:47,TG_0001095,24.07
2021-06-02 14:07:36,TG_0001099,25.79
2021-06-02 14:09:29,TG_0001100,25.66
2021-06-02 14:09:29,TG_0001101,25.66
2021-06-02 14:20:48,TG_0001094,24.08
2021-06-02 14:20:48,TG_0001095,24.08
2021-06-02 14:22:36,TG_0001099,25.77
2021-06-02 14:24:29,TG_0001100,25.64
2021-06-02 14:24:29,TG_0001101,25.64
2021-06-02 14:33:22,TG_0001096,24.61
2021-06-02 14:33:22,TG_0001097,24.61
2021-06-02 14:35:48,TG_0001094,24.12
2021-06-02 14:35:48,TG_0001095,24.12
2021-06-02 14:37:35,TG_0001099,25.75
2021-06-02 14:48:21,TG_0001096,24.6
2021-06-02 14:48:21,TG_0001097,24.6
2021-06-02 14:50:48,TG_0001094,24.1
2021-06-02 14:50:48,TG_0001095,24.1
2021-06-02 14:52:36,TG_0001099,25.72
2021-06-02 14:54:30,TG_0001100,25.66
2021-06-02 14:54:30,TG_0001101,25.66
2021-06-02 15:03:23,TG_0001096,24.55
2021-06-02 15:03:23,TG_0001097,24.55
2021-06-02 15:05:47,TG_0001094,24.04
2021-06-02 15:05:47,TG_0001095,24.04
2021-06-02 15:07:36,TG_0001099,25.7
2021-06-02 15:18:23,TG_0001096,24.54
2021-06-02 15:18:23,TG_0001097,24.54
2021-06-02 15:20:47,TG_0001094,24.02
2021-06-02 15:20:47,TG_0001095,24.02
2021-06-02 15:23:29,TG_0001099,25.96
2021-06-02 15:24:33,TG_0001100,25.72
2021-06-02 15:24:33,TG_0001101,25.72
2021-06-02 15:33:24,TG_0001096,24.53
2021-06-02 15:33:24,TG_0001097,24.53
2021-06-02 15:35:47,TG_0001094,24.01
2021-06-02 15:35:47,TG_0001095,24.01
2021-06-02 15:38:36,TG_0001099,25.95
2021-06-02 15:39:35,TG_0001100,25.89
2021-06-02 15:39:35,TG_0001101,25.89
2021-06-02 15:48:24,TG_0001096,24.67
2021-06-02 15:48:24,TG_0001097,24.67
2021-06-02 15:50:47,TG_0001094,23.97
2021-06-02 15:50:47,TG_0001095,23.97
2021-06-02 15:53:35,TG_0001099,25.71
2021-06-02 15:54:32,TG_0001100,26.08
2021-06-02 15:54:32,TG_0001101,26.08
2021-06-02 16:03:24,TG_0001096,24.52
2021-06-02 16:03:24,TG_0001097,24.52
2021-06-02 16:05:47,TG_0001094,23.93
2021-06-02 16:05:47,TG_0001095,23.93
2021-06-02 16:08:36,TG_0001099,25.66
2021-06-02 16:09:32,TG_0001100,26.2
2021-06-02 16:09:32,TG_0001101,26.2
2021-06-02 16:18:25,TG_0001096,24.51
2021-06-02 16:18:25,TG_0001097,24.51
2021-06-02 16:20:47,TG_0001094,23.91
2021-06-02 16:20:47,TG_0001095,23.91
2021-06-02 16:23:32,TG_0001099,25.63
2021-06-02 16:24:31,TG_0001100,26.33
2021-06-02 16:24:31,TG_0001101,26.33
2021-06-02 16:33:24,TG_0001096,24.5
2021-06-02 16:33:24,TG_0001097,24.5
2021-06-02 16:35:46,TG_0001094,23.89
2021-06-02 16:35:46,TG_0001095,23.89
2021-06-02 16:38:39,TG_0001099,25.59
2021-06-02 16:39:32,TG_0001100,26.45
2021-06-02 16:39:32,TG_0001101,26.45
2021-06-02 16:48:26,TG_0001096,24.49
2021-06-02 16:48:26,TG_0001097,24.49
2021-06-02 16:53:33,TG_0001099,25.56
2021-06-02 16:54:33,TG_0001100,26.54
2021-06-02 16:54:33,TG_0001101,26.54
2021-06-03 08:03:39,TG_0001096,25.19
2021-06-03 08:03:39,TG_0001097,25.19
