floor_id,n_customer,vote_hot_rate,vote_cold_rate,voc_all_rate,VOC_toilet_rate,VOC_lamp_rate,VOC_electric_rate,VOC_door_rate,VOC_dirty_rate,VOC_noise_rate
TG_0000452,46,60.9%,10.9%,47.8%,,,10.9%,2.2%,4.3%,2.2%
TG_0000453,77,29.9%,13.0%,41.6%,,1.3%,3.9%,2.6%,2.6%,2.6%
TG_0000457,71,0.0%,2.8%,8.5%,,,4.2%,,,
TG_0000459,97,30.9%,13.4%,29.9%,,1.0%,5.2%,3.1%,,
TG_0000462,32,40.6%,28.1%,65.6%,,,15.6%,3.1%,,
TG_0000547,14,,,,,,,,,
TG_0000549,5,,,,,,,,,
TG_0000550,13,,,,,,,,,
TG_0000551,2,,,100.0%,,,,,50.0%,
TG_0000717,6,,,,,,,,,
TG_0000721,1,,,,,,,,,
TG_0000722,7,,,,,,,,,
TG_0000723,6,,,,,,,,,
TG_0000724,13,,,,,,,,,
TG_0000725,2,,,,,,,,,
TG_0000726,2,,,50.0%,,50.0%,,,,
TG_0000727,1,,,,,,,,,
TG_0000731,1,,,,,,,,,
TG_0000732,1,,,,,,,,,
TG_0000733,2,,,,,,,,,
TG_0000734,5,,,,,,,,,
TG_0000743,8,,,,,,,,,
TG_0000747,7,,,,,,,,,
TG_0000748,33,,,,,,,,,
TG_0000749,2,,,,,,,,,
TG_0000751,8,,,87.5%,,,12.5%,25.0%,25.0%,
TG_0000752,3,,,66.7%,,,,,,
TG_0000753,30,10.0%,0.0%,36.7%,,,,3.3%,,
TG_0000769,6,,,100.0%,,33.3%,,50.0%,,
TG_0000770,65,3.1%,6.2%,27.7%,,3.1%,,9.2%,1.5%,
TG_0000777,4,,,,,,,,,
TG_0000778,2,,,,,,,,,
TG_0000780,21,,,,,,,,,
TG_0000781,13,7.7%,0.0%,7.7%,,,,,,
TG_0000782,28,,,,,,,,,
TG_0000783,6,,,,,,,,,
TG_0000784,34,200.0%,2.9%,61.8%,,2.9%,,,,
TG_0000785,54,37.0%,37.0%,61.1%,,,,1.9%,1.9%,1.9%
TG_0000786,51,137.3%,13.7%,90.2%,,,2.0%,,2.0%,
